entname,enttypename,entid,enttypeid,byif_out_util_max,byif_in_util_pct10,byif_name,byif_out_util_pct10,byif_latency_c_avg,description,byif_com_speed_c,byif_out_bit_rate,byif_latency_c_max,byif_out_util_count,byif_out_util_avg,byif_bandwidth,byif_in_bit_rate,byif_errors_c,byif_in_util_count,byif_in_error_c,byif_in_util_avg,byif_in_util_max,byif_desc,location_site,byif_out_error_c
AL023,Network - Device,29440,sys:net:dev,19.694,1.969,CPE2,1.352,24.541,Branch,DNI-1,126731.093,79,24,3.094,4096000,214361.781,0,24,0,5.233,58.148,ATM0/IMA1_100-aal5_layer,FUBINE,0
AL023,Network - Device,29440,sys:net:dev,21.396,1.809,CPE1,1.644,33.656,Branch,DNI-1,218279.104,193,24,5.329,4096000,364409.479,0,24,0,8.896,70.349,ATM0/IMA1_100-aal5_layer,FUBINE,0
AL023,Network - Device,29440,sys:net:dev,0.112,0.111,LTE,0.095,66.927,Branch,DNI-1,3907.312,153,24,0.095,4096000,4627.218,0,24,0,0.112,0.116,LTE,FUBINE,0
AL020,Network - Device,49794,sys:net:dev,4.416,0.981,CPE2,1.035,15.671,Branch,WIMAX (30+2),32382.005,83,48,1.581,2048000,24298.437,0.01,48,0.01,1.186,5.47,Serial0/0/0_100,BALZOLA,0
AL020,Network - Device,49794,sys:net:dev,1.178,0.36,CPE1,0.251,18.151,Branch,WIMAX (30+2),100246.072,30,48,0.334,30000000,152701.744,0,48,0,0.509,4.648,GigabitEthernet0/0/0_100,BALZOLA,0
AL020,Network - Device,49794,sys:net:dev,0,0,LTE,0,18.427,Branch,WIMAX (30+2),0,28,48,0,2048000,0,0,48,0,0,0,LTE,BALZOLA,0
AG012,Network - Device,68867,sys:net:dev,0.415,0.033,CPE2,0.029,33.333,Branch,DNI-3,43166.541,34,48,0.043,100000000,71011.338,0,48,0,0.071,0.177,Ethernet0/2/0_90,SICULIANA,0
AG012,Network - Device,68867,sys:net:dev,0.213,0.035,CPE1,0.046,36.52,Branch,DNI-3,51518.411,38,48,0.051,100000000,44352.348,0,48,0,0.044,0.406,Ethernet0/2/0_90,SICULIANA,0
AG012,Network - Device,68867,sys:net:dev,0,0,LTE,0,38.994,Branch,DNI-3,0,41,48,0,100000000,0,0,48,0,0,0,LTE,SICULIANA,0
AG045,Network - Device,27139,sys:net:dev,5.836,1.036,CPE1,1.384,51.062,ATM,A1,34296.348,194,48,1.674,2048000,52697.729,0,48,0,2.573,68.181,ATM0/2/0_100-aal5_layer,CAMPOBELLO DI LICATA,0
AG045,Network - Device,27139,sys:net:dev,0,0,LTE,0,53.197,ATM,A1,0,175,48,0,2048000,0,0,48,0,0,0,LTE,CAMPOBELLO DI LICATA,0
AG025,Network - Device,33924,sys:net:dev,3.992,1.058,CPE1,1.098,48.298,ATM,A1,29772.899,153,72,1.453,2048000,46546.715,0,72,0,2.272,20.082,ATM0/2/0_100-aal5_layer,AGRIGENTO IMERA,0
AG025,Network - Device,33924,sys:net:dev,1.635,0,LTE,0,52.986,ATM,A1,2122.722,220,72,0.103,2048000,1799.697,0,72,0,0.087,0.377,LTE,AGRIGENTO IMERA,0
AL003,Network - Device,38021,sys:net:dev,28.161,1.553,CPE2,1.281,18.958,Branch,DNI-2,385901.322,44,24,4.71,8192000,735954.76,0,24,0,8.983,78.96,GigabitEthernet0/0/0,NOVI LIGURE,0
AL003,Network - Device,38021,sys:net:dev,25.206,1.492,CPE1,1.691,9.645,Branch,DNI-2,499368.218,51,24,6.095,8192000,885404.895,0,24,0,10.808,51.503,Ethernet0/2/0_100,NOVI LIGURE,0
AL003,Network - Device,38021,sys:net:dev,0,0,LTE,0,10.197,Branch,DNI-2,0,54,24,0,8192000,0,0,24,0,0,0,LTE,NOVI LIGURE,0
AN013,Network - Device,49030,sys:net:dev,0.353,0.268,CPE2,0.281,22.01,Branch,DNI-3 (8+8),24123.968,23,24,0.294,8192000,23160.416,0,24,0,0.282,0.728,Ethernet0/2/0_100,ANCONA UNIVERSITA',0
AN013,Network - Device,49030,sys:net:dev,0.71,0.446,CPE1,0.507,21.197,Branch,DNI-3 (8+8),43385.052,22,24,0.529,8192000,40079.791,0,24,0,0.489,2.06,Ethernet0/2/0_100,ANCONA UNIVERSITA',0
AN013,Network - Device,49030,sys:net:dev,0,0,LTE,0,25,Branch,DNI-3 (8+8),0,25,24,0,8192000,0,0,24,0,0,0,LTE,ANCONA UNIVERSITA',0
